id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1267606753685852163,1267606753685852163,1591055975000,2020-06-01,16:59:35,Pacific Daylight Time,1131706919096242176,jambonie1,jambonie #1,,$TPTW $SBES $SPOM $TSLA $MARK $INQD $TLSS  Lots of UP'S & DOWN'S But Long Hold Always Prevail More $$$$ https://twitter.com/jambonie1/status/1265130077152411648 …,[],['https://twitter.com/jambonie1/status/1265130077152411648'],[],1,3,6,[],"['$tptw', '$sbes', '$spom', '$tsla', '$mark', '$inqd', '$tlss']",https://twitter.com/jambonie1/status/1267606753685852163,False,https://twitter.com/jambonie1/status/1265130077152411648,0,,,,,,,"[{'user_id': '1131706919096242176', 'username': 'jambonie1'}]",,,,
1267606742457671680,1267606742457671680,1591055973000,2020-06-01,16:59:33,Pacific Daylight Time,4072978993,sadbillackman,A higher grade of sour.,,"It is OK, they will just say they are making $TSLA's.  https://twitter.com/danahull/status/1267604965209473024 …",[],['https://twitter.com/danahull/status/1267604965209473024'],[],0,1,0,[],['$tsla'],https://twitter.com/SadBillAckman/status/1267606742457671680,False,https://twitter.com/danahull/status/1267604965209473024,0,,,,,,,"[{'user_id': '4072978993', 'username': 'SadBillAckman'}]",,,,
1267606693107642370,1267606693107642370,1591055961000,2020-06-01,16:59:21,Pacific Daylight Time,796342662844547072,italyreferendum,If $TslaQ Didn't Exist Whom Would We Gain From ?,,"Boom of EV Sales in Italy in May 2020 

+51% vs May 2019

$TSLA",[],[],[],1,1,4,[],['$tsla'],https://twitter.com/ItalyReferendum/status/1267606693107642370,False,,0,,,,,,,"[{'user_id': '796342662844547072', 'username': 'ItalyReferendum'}]",,,,
1267606547200225282,1267606547200225282,1591055926000,2020-06-01,16:58:46,Pacific Daylight Time,862382957163462656,afortunetrading,afortunetrading,,"$AAPL close at $321.85 and above key resistance $320 

$325 then All time high's and into $330s ($338) 👇
$SPX $AAPL $ROKU $TWLO $BYND $TSLA $NVDA $ES $AMZN $CHWY $LVGO $NFLX $GOOGL $NVDA $CHWY $BA $IWM $RUT $DJX $GLD $PTON

@  http://tradingwiser.com  https://twitter.com/afortunetrading/status/1267277790367211520 …",[],"['http://tradingwiser.com', 'https://twitter.com/afortunetrading/status/1267277790367211520']",[],0,2,3,[],"['$aapl', '$spx', '$aapl', '$roku', '$twlo', '$bynd', '$tsla', '$nvda', '$es', '$amzn', '$chwy', '$lvgo', '$nflx', '$googl', '$nvda', '$chwy', '$ba', '$iwm', '$rut', '$djx', '$gld', '$pton']",https://twitter.com/afortunetrading/status/1267606547200225282,False,https://twitter.com/afortunetrading/status/1267277790367211520,0,,,,,,,"[{'user_id': '862382957163462656', 'username': 'afortunetrading'}]",,,,
1267606454543855617,1267606454543855617,1591055904000,2020-06-01,16:58:24,Pacific Daylight Time,367602126,sanfrantrader,MR.YUNGLEAN,,They were smoking the ask on the $TSLA tape today,[],[],[],0,0,2,[],['$tsla'],https://twitter.com/sanfrantrader/status/1267606454543855617,False,,0,,,,,,,"[{'user_id': '367602126', 'username': 'sanfrantrader'}]",,,,
1267606106009976834,1267606106009976834,1591055821000,2020-06-01,16:57:01,Pacific Daylight Time,1119916592685568001,elcryptochief,Crypto Chief,,"Tesla | $TSLA

TESLA , a Bull in the moon

Long or short it with BTC on Trade8:  http://trade8.to/trade/TSLA  pic.twitter.com/T3IwiMeA2l",[],['http://trade8.to/trade/TSLA'],['https://pbs.twimg.com/media/EZdxCQBWsAEv8MP.png'],0,0,0,[],['$tsla'],https://twitter.com/ElCryptoChief/status/1267606106009976834,False,,0,,,,,,,"[{'user_id': '1119916592685568001', 'username': 'ElCryptoChief'}]",,,,
1267606104080445441,1267606104080445441,1591055820000,2020-06-01,16:57:00,Pacific Daylight Time,666913,c4chaos,~C4Chaos,,$TSLA & #Bitcoin are UNCORRELATED assets. but i do prefer them to be both pumping GREEN 💪😷🚀 #SpaceXBump pic.twitter.com/OkITjZM1YV,[],[],"['https://pbs.twimg.com/media/EZdxCCqUEAEnw-S.jpg', 'https://pbs.twimg.com/media/EZdxCCrUMAEqWcW.jpg', 'https://pbs.twimg.com/media/EZdxCCrU8AAV6A0.jpg']",0,0,0,"['#bitcoin', '#spacexbump']",['$tsla'],https://twitter.com/c4chaos/status/1267606104080445441,False,,0,,,,,,,"[{'user_id': '666913', 'username': 'c4chaos'}]",,,,
1267606097722060801,1267606097722060801,1591055819000,2020-06-01,16:56:59,Pacific Daylight Time,1142453041364385794,jcoviedo6,JC Oviedo,,"$TSLA

Is it any surprise that COVID-19 cases are skyrocketing in Alameda County?

#TyphoidElon https://twitter.com/sfchronicle/status/1267597801292279816 …",[],['https://twitter.com/sfchronicle/status/1267597801292279816'],[],2,1,11,['#typhoidelon'],['$tsla'],https://twitter.com/JCOviedo6/status/1267606097722060801,False,https://twitter.com/sfchronicle/status/1267597801292279816,0,,,,,,,"[{'user_id': '1142453041364385794', 'username': 'JCOviedo6'}]",,,,
1267606006474764288,1267606006474764288,1591055797000,2020-06-01,16:56:37,Pacific Daylight Time,862382957163462656,afortunetrading,afortunetrading,,"$CHWY tested $45 & closed above next spot is $47.50 and then into $50s 👇
$SPX $AAPL $ROKU $TWLO $BYND $TSLA $NVDA $ES $AMZN $CHWY $LVGO $NFLX $GOOGL $NVDA $CHWY $BA $IWM $RUT $DJX $GLD $PTON

@  http://tradingwiser.com  https://twitter.com/afortunetrading/status/1267287621346029570 …",[],"['http://tradingwiser.com', 'https://twitter.com/afortunetrading/status/1267287621346029570']",[],1,1,8,[],"['$chwy', '$spx', '$aapl', '$roku', '$twlo', '$bynd', '$tsla', '$nvda', '$es', '$amzn', '$chwy', '$lvgo', '$nflx', '$googl', '$nvda', '$chwy', '$ba', '$iwm', '$rut', '$djx', '$gld', '$pton']",https://twitter.com/afortunetrading/status/1267606006474764288,False,https://twitter.com/afortunetrading/status/1267287621346029570,0,,,,,,,"[{'user_id': '862382957163462656', 'username': 'afortunetrading'}]",,,,
1267605712693194752,1267605712693194752,1591055727000,2020-06-01,16:55:27,Pacific Daylight Time,862382957163462656,afortunetrading,afortunetrading,,"$LVGO if you took $60 entry today, it held $57 stop are and closed at $59.27 

Looking good once it clears $61 it should get going 👇
$SPX $AAPL $ROKU $TWLO $BYND $TSLA $NVDA $ES $AMZN $CHWY $LVGO $NFLX $GOOGL $NVDA $CHWY $BA $IWM $RUT $DJX $GLD $PTON

@  http://tradingwiser.com  https://twitter.com/afortunetrading/status/1267289658171420672 …",[],"['http://tradingwiser.com', 'https://twitter.com/afortunetrading/status/1267289658171420672']",[],1,1,7,[],"['$lvgo', '$spx', '$aapl', '$roku', '$twlo', '$bynd', '$tsla', '$nvda', '$es', '$amzn', '$chwy', '$lvgo', '$nflx', '$googl', '$nvda', '$chwy', '$ba', '$iwm', '$rut', '$djx', '$gld', '$pton']",https://twitter.com/afortunetrading/status/1267605712693194752,False,https://twitter.com/afortunetrading/status/1267289658171420672,0,,,,,,,"[{'user_id': '862382957163462656', 'username': 'afortunetrading'}]",,,,
